//STAGE0 
st1 0 0 -800 
st1 0 0 -800
st1 0 0 -600
st1 0 0 -400
st1 0 0 -200
st1 0 0 0
st1 0 0 200
st1 0 0 400
st1 0 0 600
st1 0 0 800
st1 0 0 850
st1 0 0 850

//STAGE1 
st2 0 0 -800 
st2 0 0 -800
st2 100 0 -750
st2  -200 0 -600
st2  -400 -50 -400
st2  -200 50 -100
st2  -100 0 0
st2 100 0 200
st2 100 50 400
st2 -100 100 600
st2 -300 100 800
st2 -300 100 800

//STAGE2 
st3 200    0  -800
st3 200    0  -800
st3 100    0  -750
st3 0      0  -600
st3 50   -50  -400
st3 100   50  -100
st3 -100   0     0
st3 50     0   200
st3 50    50   400
st3 0    100   600
st3 -100 100   800
st3 -100 100   800

//STAGE3 
st4    0   0 -800 
st4    0   0 -800
st4  100   0 -750
st4 -200   0 -600
st4 -400 -50 -400
st4 -200  50 -100
st4 -100   0    0
st4  100   0  200
st4  100  50  400
st4 -100 100  600
st4 -300 100  800
st4 -300 100  800

//STAGE4 
st5 0 0 -800 
st5 0 0 -800
st5 100 0 -750
st5  -200 0 -600
st5  -400 -50 -400
st5  -200 50 -100
st5  -100 0 0
st5 100 0 200
st5 100 50 400
st5 -100 100 600
st5 -300 100 800
st5 -300 100 800

//STAGE5 
st6 0 0 -800 
st6 0 0 -800
st6 100 0 -750
st6  -200 0 -600
st6  -400 -50 -400
st6  -200 50 -100
st6  -100 0 0
st6 100 0 200
st6 100 50 400
st6 -100 100 600
st6 -300 100 800
st6 -300 100 800

//STAGE6 
st7 0 0 -800 
st7 0 0 -800
st7 100 0 -750
st7  -200 0 -600
st7  -400 -50 -400
st7  -200 50 -100
st7  -100 0 0
st7 100 0 200
st7 100 50 400
st7 -100 100 600
st7 -300 100 800
st7 -300 100 800

//STAGE7 
st8 0 0 -800 
st8 0 0 -800
st8 100 0 -750
st8  -200 0 -600
st8  -400 -50 -400
st8  -200 50 -100
st8  -100 0 0
st8 100 0 200
st8 100 50 400
st8 -100 100 600
st8 -300 100 800
st8 -300 100 800

//STAGE8 
st9 0 0 -800 
st9 0 0 -800
st9 100 0 -750
st9  -200 0 -600
st9  -400 -50 -400
st9  -200 50 -100
st9  -100 0 0
st9 100 0 200
st9 100 50 400
st9 -100 100 600
st9 -300 100 800
st9 -300 100 800

//STAGE9 
st10 0 0 -800 
st10 0 0 -800
st10 100 0 -750
st10  -200 0 -600
st10  -400 -50 -400
st10  -200 50 -100
st10  -100 0 0
st10 100 0 200
st10 100 50 400
st10 -100 100 600
st10 -300 100 800
st10 -300 100 800

//STAGE10 
st11 0 0 -800 
st11 0 0 -800
st11 100 0 -750
st11  -200 0 -600
st11  -400 -50 -400
st11  -200 50 -100
st11  -100 0 0
st11 100 0 200
st11 100 50 400
st11 -100 100 600
st11 -300 100 800
st11 -300 100 800
