//STAGE1
ea1 M 1.31
eb1 M 2.0

ea1 L 2.5
eb1 M 2.5
ea1 R 2.5

eb1 L 3.2
ea1 M 3.2
eb1 R 3.2

ea1 L 3.9
ea1 M 3.9
eb1 R 3.9

ea1 L 4.5
ea1 M 4.5
ea1 R 4.5

ea1 L 5.5
ea1 M 5.5
ea1 R 5.5

ea1 L 5.9
ea1 M 5.9

ea1 M 6.2
ea1 R 6.2

eb1 L 6.6
ea1 M 6.5
ea1 R 6.5

eb1 L 7.3
eb1 R 7.3

ea1 L 7.7
eb1 M 7.9
ea1 R 7.7

ea1 L 8.5
ea1 M 8.5
ea1 R 8.5

ea1 L 8.9
ea1 M 8.9
ea1 R 8.9

ea1 L 9.4
ea1 M 9.3
ea1 R 9.4


//STAGE2
ea2 L 2.1
ea2 M 2.1
ea2 R 2.1

ea2 L 2.5
ea2 M 2.5
ea2 R 2.5

eb2 L 3.1
eb2 L 3.2
eb2 L 3.3

eb2 L 4.2
ea2 M 4.2
eb2 R 4.2

ea2 L 5.1
ea2 M 5.1
ea2 R 5.1

eb2 L 5.7
ea2 M 5.7
eb2 R 5.7

ea2 L 6.4
ea2 M 6.4
eb2 R 6.4

ea2 L 7.2
eb2 M 7.2
eb2 R 7.2

eb2 L 7.8
eb2 M 7.8
ea2 R 7.8

ea2 L 8.5
eb2 M 8.5
ea2 R 8.5

ea2 L 9.2
ea2 M 9.4
ea2 R 9.6




